DATE,PRODUCT_NAME,NODE_ID,LOCATION,NODE_TYPE,CURRENT_INVENTORY,CAPACITY,DAILY_THROUGHPUT,REVENUE_IN,EXPENSE_OUT
2026-01-15,Smartphones,HUB-BOM,Mumbai,Distribution Center,4500,10000,800,1200000,850000
2026-01-20,Laptops,HUB-BLR,Bangalore,Tech Hub,1200,3000,150,850000,600000
2026-02-10,Smartphones,HUB-DEL,Delhi,Warehouse,3800,10000,900,1400000,920000
2026-02-28,EV Batteries,HUB-MAA,Chennai,Port Facility,400,1000,45,400000,350000
2026-03-15,Smartphones,HUB-BOM,Mumbai,Distribution Center,5200,10000,850,1350000,890000
2026-03-22,Laptops,HUB-BLR,Bangalore,Tech Hub,800,3000,200,920000,610000
2026-04-05,EV Batteries,HUB-MAA,Chennai,Port Facility,250,1000,60,550000,400000
2026-04-18,Smartphones,HUB-DEL,Delhi,Warehouse,2100,10000,950,1600000,1100000
2026-05-12,Laptops,HUB-BLR,Bangalore,Tech Hub,1500,3000,180,950000,680000
2026-05-25,EV Batteries,HUB-MAA,Chennai,Port Facility,600,1000,80,720000,460000
2026-06-10,Smartphones,HUB-BOM,Mumbai,Distribution Center,6000,10000,900,1450000,900000
2026-06-28,Laptops,HUB-DEL,Delhi,Warehouse,900,5000,250,1100000,750000
